Date,DIA,GS.N,NKE.N,CSCO.OQ,JPM.N,DIS.N,INTC.OQ,DOW.N,MRK.N,CVX.N,AXP.N,VZ.N,HD.N,WBA.OQ,MCD.N,UNH.N,KO.N,JNJ.N,MSFT.OQ,HON.OQ,CRM.N,PG.N,IBM.N,MMM.N,AAPL.OQ,WMT.N,CAT.N,AMGN.OQ,V.N,TRV.N,BA.N
7/8/2022 17:00,312.9204,296.04,107.46,43.16,114.13,95.96,37.54,51.39,93.28,142.64,140.915,50.48,284.75,37.76,253.11,523.91,62.9,179.21,265.38,172.67,173.75,144.93,139.83,128.52,145.79,125.37,178.63,248.8,202.14,169.25,138.43
7/8/2022 18:00,313.6,296.485,107.92,43.39,114.37,96.27,37.79,51.53,93.1,143.09,141.54,50.55,285.73,37.66,253.7,521.96,63.09,178.86,266.61,173.13,175.22,145,140.33,128.73,146.84,125.46,179.15,249.3,202.54,169.16,138.77
7/8/2022 19:00,314.71,297.27,108.385,43.55,115.04,96.5,37.95,51.8,93.12,143.54,142.69,50.68,287.52,37.8,254.5,521.68,63.23,179.08,267.76,174.03,175.78,145.46,140.84,129.24,147.45,125.79,180.34,249.47,204.02,169.65,139.36
7/8/2022 20:00,313.49,296.6,107.93,43.39,114.37,95.87,38,51.38,92.81,142.83,141.76,50.5,286.4,37.56,253.25,518.82,63.15,178.3,267.66,173.34,175.5,144.97,140.47,128.73,147.03,125.43,179.06,248.48,203.57,169,139.12
7/8/2022 21:00,313.46,296.47,107.93,43.39,114.36,95.86,37.99,51.38,92.78,142.77,141.76,50.49,286.47,37.55,253.24,518.63,63.14,178.28,267.66,173.34,175.5,145.02,140.47,128.72,147.04,125.4,179.1,248.48,203.57,169,139.07
7/11/2022 15:00,311.7091,293.97,106,43.225,112.89,94.07,37.2,50.87,94.23,140.4,141.1,50.32,287.76,37.54,253.35,517.71,62.76,178.46,264.04,173.24,173.96,145.145,140.56,129.24,145.06,124.75,175.41,247.57,204.86,168.66,135.34
7/11/2022 16:00,312.14,294,105.63,43.27,113.1,93.91,37.22,50.95,94.41,141.14,140.61,50.44,288.035,37.695,254.32,518.34,62.84,178.33,264.72,172.96,175.26,145.69,140.63,129.52,145.15,124.79,175.34,248.23,204.98,168.21,135.23
7/11/2022 17:00,312.48,294.53,105.76,43.37,113.29,93.98,37.41,50.99,94.18,141.53,140.87,50.54,288.05,37.69,254.64,518.02,63.02,178.26,264.86,173.36,174.91,146.34,140.61,130.03,145.485,125.15,175.45,248.28,205.71,168.89,135.37
7/11/2022 18:00,313.5,295,106.12,43.59,113.56,94.2,37.59,51.12,94.29,141.36,141.25,50.58,289.1,37.88,255,520.81,63.11,178.75,266.05,173.87,176.07,146.46,141.31,130.03,146.415,125.64,176.13,249.74,206.44,169.11,136
7/11/2022 19:00,312.11,293.6,105.33,43.34,112.72,93.67,37.3,50.99,94.07,141.23,140.75,50.465,287.84,37.61,253.96,518.65,62.91,178.39,264.66,172.78,174.9,145.82,140.84,129.35,145.32,125.43,174.98,248.8,205.51,168.62,135.99
7/11/2022 20:00,311.75,293.09,105.13,43.26,112.86,93.65,37.22,51.01,94.3,141.54,140.59,50.51,286.4,37.44,253.28,517.07,62.95,178.38,264.54,172.84,174.36,146.06,141.02,129.02,144.91,125.46,174.95,247.88,205.15,168.49,136.99
7/11/2022 21:00,311.7,293.18,105.11,43.25,112.86,93.64,37.2,51.01,94.3,141.51,140.58,50.5,286.39,37.43,253.28,516.95,62.94,178.35,264.51,172.84,174.36,146.04,141,129.01,144.87,125.45,175.02,247.78,205.06,168.52,136.99
7/12/2022 15:00,312.73,297.9,104.53,43.6,113.81,94.82,37.24,51.26,93.46,138.35,140.6,51.23,291.36,38.57,254.87,516.39,63.42,177.12,257.28,175.4,166.14,146.49,140.88,131.62,146.98,126.36,176.74,249.03,205.8,168.65,144
7/12/2022 16:00,312.555,297.92,104.46,43.54,114.87,94.52,37.3,51.37,93.57,139.16,141.06,51.045,289.12,38.4,254.32,515.85,62.89,176.99,257,175.68,166.29,146.04,140.52,131.2,147.8,126.16,176.72,247.96,205.34,168.03,146.49
7/12/2022 17:00,313.1904,298.36,104.82,43.465,114.88,94.9,37.38,51.2,93.82,138.56,141.51,50.89,288.97,38.345,255.1,517.04,63.1,176.81,257.71,176.43,167.87,146.43,140.72,131.4,148.045,126.18,176.22,247.5,206.2,168.09,149.07
7/12/2022 18:00,312.7201,297.29,104.43,43.335,114.76,94.85,37.48,51.2,93.63,139.54,141.77,50.9,287.68,38.28,254.59,516.41,63.05,176.68,256.59,175.96,167.47,146.16,140.28,131.11,148.15,125.94,176.88,247.35,206.59,167.66,148.79
7/12/2022 19:00,311.45,294.89,103.77,43.11,113.82,94.16,37.295,50.79,93.72,138.81,140.58,50.775,286.36,38.16,253.32,516.17,63.11,176.66,254.78,174.57,167.12,145.8,139.92,130.67,146.76,125.86,175.7,247.39,206,166.67,148.47
7/12/2022 20:00,310,292.53,103.82,42.86,113.03,93.69,37.22,50.43,93.61,139.13,139.28,50.85,285.23,37.97,251.53,515.02,62.68,175.88,253.68,173.62,166.4,144.77,139.23,130.24,145.87,125.1,174.58,246.87,204.78,165.35,147.19
7/12/2022 21:00,309.97,292.53,103.76,42.86,112.97,93.6,37.21,50.42,93.6,138.92,139.18,50.78,285.12,37.97,251.48,514.42,62.67,175.85,253.67,173.61,166.33,144.75,139.18,130.2,145.86,125.07,174.49,246.97,204.82,165.28,147.15
7/13/2022 15:00,307.9,288.95,104.56,42.54,111.42,92.29,37.13,49.585,93.5,139.48,138.64,50.33,287.13,37.35,251.93,506.73,62.3,174.74,250.54,171.44,164.39,145.61,137.86,128.89,145.62,125.22,174.76,246.26,203.53,163.24,144.27
7/13/2022 16:00,307.7543,288.66,104.52,42.53,111.47,92.15,36.97,49.3,93.69,138.3,138.835,50.61,286.78,37.29,252.97,506.31,62.49,175.39,250.57,171.245,164.75,145.77,137.8,128.88,145.24,125.48,173.75,246.57,204.27,163.62,142.96
7/13/2022 17:00,309.0799,289.81,104.94,42.8,112.07,92.69,37.205,49.72,94.02,138.81,139.32,50.83,287.64,37.585,253.62,506.38,62.87,175.87,252.78,171.83,165.02,146.55,138.56,129.1,146,126.08,173.9,247.49,204.91,164.89,144.46
7/13/2022 18:00,308.98,289.84,105.105,42.83,112.28,93.04,37.265,49.89,94,138.84,139.81,50.67,289.28,37.58,253.56,504.23,62.68,175.66,252.465,171.93,164.56,146.77,138.18,128.99,146.14,125.82,173.83,247.67,204.84,164.87,144.76
7/13/2022 19:00,309.49,291.05,105.85,43.04,112.45,93.12,37.38,49.91,94.33,139.15,139.82,50.8,289.79,37.6,253.63,505.13,62.68,176.06,252.98,172.02,164.09,146.59,138.04,129.06,146.39,125.81,174.43,248.17,205.11,164.8,144.83
7/13/2022 20:00,307.7,289.97,105.11,42.695,111.84,92.92,37.2,49.65,93.75,138.01,139.35,50.5,287.11,37.23,252.64,501.43,62.37,175.39,252.67,170.85,163.5,145.63,137.1,128.32,145.45,125.37,173.72,247.06,204.13,163.31,143.91
7/13/2022 21:00,307.75,290.15,105.11,42.7,111.91,92.94,37.21,49.67,93.77,137.99,139.4,50.51,287.18,37.24,252.67,501.24,62.38,175.44,252.72,170.87,163.49,145.7,137.18,128.37,145.49,125.37,173.87,247.09,204.15,163.32,143.95
7/14/2022 15:00,302.1,278.63,101.98,41.72,106.67,91.31,36.7,48.83,93,133.3,135.08,50.2,282.72,36.67,250.7,492.76,61.56,174.33,248.49,168.17,158.59,143.94,137.09,126.57,144.83,125.3,168.24,243.48,200.21,157.07,142.89
7/14/2022 16:00,304.6124,281.63,103.36,41.92,107.66,91.77,36.995,48.99,93.44,134.57,136.76,50.28,285.42,37.08,251.6,497.68,61.79,175.09,251.49,168.84,160.89,144.57,138.52,127.47,147.15,126.13,169.26,245.01,203.39,157.27,145.2
7/14/2022 17:00,303.43,279.67,102.87,41.735,106.92,91.1,36.96,48.6,93.26,133.83,135.97,50.2,284.89,36.7,251.43,495.85,61.67,174.77,250.45,168.11,160.18,144.32,138.04,126.77,146.63,126.8,168.15,244.49,203.22,155.73,143.75
7/14/2022 18:00,304.56,280.33,103.01,41.945,107.31,91.26,37.59,48.69,93.42,134.34,136.54,50.27,286.3,36.705,251.57,498.36,61.93,174.74,252.84,168.22,160.88,144.8,138.39,127.1,147.56,127.49,169.16,244.98,204.04,155.95,144.98
7/14/2022 19:00,306.17,282.19,103.29,42.34,107.89,91.73,37.87,48.92,93.66,135.31,136.87,50.51,287.83,36.95,252.33,501.96,62.04,175.48,254.44,169.47,161.25,145.14,139.25,127.85,148.69,127.86,169.52,246.44,205.63,156.56,146.2
7/14/2022 20:00,306.38,281.5,103.22,42.33,108,91.83,37.71,48.89,93.885,135.92,136.53,50.48,289.48,36.85,252.64,502.86,62.18,175.68,254.08,169.52,161.04,145.26,139.06,128.26,148.48,127.82,169.87,245.57,205.93,155.61,147.15
7/14/2022 21:00,306.4,281.59,103.22,42.33,108,91.84,37.71,48.9,93.88,135.94,136.48,50.49,289.48,36.86,252.6,502.43,62.18,175.68,254.08,169.51,161.04,145.27,139.06,128.31,148.47,127.82,169.94,245.59,205.91,155.68,147.15
7/15/2022 15:00,311.95,292.69,104.73,42.79,111.25,93.3,38.11,49.64,94.8,137.17,141.39,50.645,292.84,37.5,256.05,526.98,62.53,177.63,258.77,172.04,165.79,144.91,139.7,129.99,149.26,129.07,172.33,248.82,210.42,157.45,146.91
7/15/2022 16:00,311.87,292.7,105.11,42.755,111.89,94.49,38.22,49.53,94.7,137.19,141.79,50.895,292.89,37.535,255.17,527.48,62.28,177.77,257.26,172.06,166.62,144.48,139.25,129.75,148.79,128.4,172.27,248.14,209.22,157.15,147.48
7/15/2022 17:00,311.6199,293.32,104.9,42.74,112.24,94.7,38.215,49.39,94.7,136.84,141.68,50.905,292.1,37.62,255.01,528.41,62.25,177.57,256.15,171.98,165.85,144.36,138.75,129.43,148.91,128.74,172.6,248.29,209.5,155.97,146.78
7/15/2022 18:00,311.925,295.07,105.11,42.87,113.12,95.02,38.265,49.59,94.72,136.55,142.48,50.86,291.95,37.73,254.31,526.9,62.15,177.51,255.87,172.05,166.62,144.43,139.16,129.57,149.14,129.03,172.77,248.17,209.75,156.23,147.05
7/15/2022 19:00,312.095,295.45,104.84,42.935,113.44,95.145,38.36,49.64,94.72,136.94,142.58,50.975,291.47,37.91,254.27,526.17,62.37,177.56,255.56,172.35,166.65,144.785,139.39,129.75,149.35,129.04,173.17,248.66,209.57,156.17,147.55
7/15/2022 20:00,312.71,293.67,104.65,43.08,112.92,95.14,38.61,49.54,94.94,137.58,142.47,51.02,292.1,38.03,255,529.53,62.48,178.2,256.71,172.8,167.32,145,139.8,130.03,150.17,129.06,173.29,248.75,209.94,156.17,147.65
7/15/2022 21:00,312.66,293.87,104.7,43.07,112.95,95.2,38.62,49.55,94.96,137.65,142.48,51.02,292.41,38.03,255.01,529.75,62.5,178.23,256.72,172.8,167.38,145.07,139.92,130.13,150.17,129.07,173.38,248.69,210.04,156.18,147.74
7/18/2022 15:00,314.63,303.54,105.54,43.05,113.11,96.53,39.08,50.91,94.22,140.54,144.51,50.725,295.27,38.33,254.2,527.55,62.35,176.13,258.45,173.45,170.42,144.61,140.2,129.72,151.22,129.79,175.43,247.6,210.66,157.195,151.25
7/18/2022 16:00,314.7201,302.99,105.83,43.23,112.77,97.11,39.305,50.92,93.83,140.63,144.56,50.48,297.29,38.34,254.77,525.52,62.26,175.95,258.82,173.27,171.99,144.25,139.86,129.87,151.4,130.19,174.65,246.82,210.88,156.62,152.6
7/18/2022 17:00,313.45,299.17,105.26,43.125,112.17,96.88,39.105,50.82,92.98,139.91,143.33,50.35,296,38.16,254.77,525.24,62.2,175.38,258.67,172.45,171.49,143.82,139.3,129.38,150.74,129.85,174.81,246.37,210.37,156.03,149.74
7/18/2022 18:00,312.43,298.86,104.47,42.81,111.92,96.07,38.66,50.76,92.9,139.94,142.68,50.51,294.38,38.29,254.57,525.06,62.1,175.4,255.88,172.1,170.03,143.92,139.08,129.48,147.79,129.57,174.7,245.67,209.04,155.97,149.2
7/18/2022 19:00,311.62,299.755,104.13,42.61,111.92,95.69,38.585,50.56,93.19,139.94,142.04,50.43,293.38,38.22,253.84,524.74,62,175.36,255.32,171.5,168.48,144.1,138.63,129.27,147.3,129.15,174.01,244.76,207.68,155.74,148.15
7/18/2022 20:00,310.65,301.16,103.94,42.59,111.77,95.67,38.71,50.47,92.32,139.57,142.27,50.27,292.92,38.31,252.41,519.31,61.65,174.23,254.32,170.94,167.89,143.3,138.13,128.91,147.13,128.73,173.49,243.83,206.99,155.01,147.76
7/18/2022 21:00,310.65,301.26,103.94,42.6,111.79,95.7,38.71,50.47,92.34,139.58,142.33,50.28,293.05,38.32,252.42,519.37,61.65,174.23,254.25,170.95,167.89,143.31,138.13,128.91,147.07,128.77,173.49,243.84,207.21,154.99,147.72
7/19/2022 15:00,315.41,313.7,108,43.72,113.87,97.695,39.885,52.32,92.91,141.39,146.21,50.39,295.62,38.695,254.41,527.8,62.25,174.56,257.04,175.18,171.36,144.7,128.59,131.02,149.4,129.6,176.75,246.75,210.28,157.89,153.93
7/19/2022 16:00,315.9711,316.12,109,43.77,114.06,98.33,40.28,52.4,92.78,142.26,146.4,50.45,296.38,38.685,254.27,526.88,62.35,172.94,257.52,175.56,172.33,144.5,129.34,130.94,149.805,129.8,177,246.39,211.52,157.58,154.16
7/19/2022 17:00,316.61,316.93,108.66,43.87,114.2,98.69,40.455,52.66,92.57,143.04,146.85,50.38,298.18,38.61,254.72,529.05,62.43,172.21,257.97,175.84,172.63,144.02,128.99,131.12,150.085,129.66,177.785,247.02,212.78,157.86,155.7
7/19/2022 18:00,317.44,318.09,109.33,43.9,114.66,99.15,40.565,52.69,92.47,143.56,147.27,50.42,298.88,38.72,255.28,530.1,62.45,171.54,258.81,176.255,173.64,144.18,129.185,131.56,150.815,129.88,178.37,247.13,213.93,158.05,154.92
7/19/2022 19:00,317.52,317.98,109.33,43.9,114.5,99.52,40.06,52.53,92.53,143.82,147.35,50.33,299.03,38.665,255.49,530.26,62.495,171.25,258.63,176.68,173.53,144.04,130.07,132.07,150.68,129.73,178.62,247.48,213.34,158,155.4
7/19/2022 20:00,318.16,318,109.14,44.04,114.54,99.58,40.21,52.39,92.31,144.58,147.68,50.42,299.82,38.6,256.35,533.11,62.5,171.48,259.49,177.13,173.71,143.98,130.82,132.09,150.97,129.54,179.39,247.32,213.36,158.17,156.07
7/19/2022 21:00,318.11,318.05,109.19,44.03,114.56,99.61,40.22,52.45,92.36,144.61,147.78,50.45,299.83,38.6,256.5,533.45,62.53,171.69,259.53,177.23,173.81,144.04,130.88,132.13,151,129.56,179.49,247.32,213.66,158.35,156.13
7/20/2022 15:00,319.28,319.84,111.54,44.24,114.69,103.9,40.45,52.59,90.48,145.935,148.65,50.04,301.62,38.82,255.53,522.17,61.97,171.75,263.16,178.32,182.71,142.47,129.7,133.3,153.38,130.33,180.58,247.84,213.34,157.21,157.45
7/20/2022 16:00,319.1572,319.73,111.52,44.24,114.37,103.84,40.475,52.51,90.18,145.6,148.33,50.18,302.17,38.8,255.79,521.26,61.985,172.27,263.78,178.24,183.08,142.52,129.18,133.2,153.16,130.73,179.54,248.1,213.58,158.14,156.94
7/20/2022 17:00,318.1614,318.89,110.99,44.09,114.08,103.39,40.27,52.22,89.98,146.38,148.07,49.71,301.885,38.52,254.71,518.56,61.59,171.42,262.92,177.89,182.68,141,128.49,132.65,153.135,130.66,179.27,247.3,212.91,157.5,157.21
7/20/2022 18:00,316.7378,318.81,110.31,43.675,113.76,102.76,40.025,52.01,89.37,145.45,147.53,49.48,301.32,38.335,253.91,515.83,61.155,169.91,261.08,177.31,182.16,140.74,128.07,132.15,152.2,130.36,178.85,245.31,211.86,156.69,156.1
7/20/2022 19:00,318.28,320.79,110.92,44.04,114.24,103.62,40.33,52.47,89.5,146.72,148.67,49.4,303.18,38.695,253.97,517.33,61.48,170.54,262.17,178.03,182.41,141.44,128.3,132.89,153.27,131.1,179.45,245.36,213.23,157.58,158.65
7/20/2022 20:00,318.76,321.56,111.1,44.12,114.56,103.34,40.54,52.55,89.64,146.53,148.91,49.07,302.39,38.91,254.59,519.18,61.51,170.72,262.24,178.26,182.45,141.58,129.16,133.02,153.03,130.59,179.83,246.62,213.36,158.15,158.4
7/20/2022 21:00,318.74,321.45,111.11,44.13,114.54,103.35,40.56,52.55,89.65,146.52,148.93,49.07,302.3,38.92,254.58,519.47,61.5,170.71,262.27,178.26,182.45,141.55,129.18,133.01,153.04,130.64,179.97,246.63,213.37,158.2,158.38
7/21/2022 15:00,317.03,324.56,111.23,44.17,114.21,103.31,40.21,50.9,89.93,143.45,147.79,47.43,301.58,38.09,252.83,512.97,61.21,170.81,259.22,178.84,181.84,139.72,126.05,133.01,153.27,131.2,178.31,245.5,214.94,153.42,159.2
7/21/2022 16:00,317.79,325.21,111.18,44.39,114.8,103.33,40.355,51.09,90.1,144.41,148.35,47.5,301.89,38.13,253.58,514.71,61.13,170.8,261.4,179.15,183.24,139.52,125.52,133.34,153.97,131.58,178.34,244.66,215.31,154.31,159.22
7/21/2022 17:00,319.05,326.8,111.41,44.63,115.36,103.8,40.43,51.25,89.88,144.88,149.37,47.71,302.76,38.415,254.01,516.8,61.23,170.46,264.2,179.77,184.26,139.54,126.86,133.59,155.15,132,179.33,244.74,215.57,155.2,161
7/21/2022 18:00,318.43,325.47,110.94,44.435,114.61,103.38,40.32,51.02,89.64,143.89,148.81,47.52,302.25,38.26,253.01,518.03,61.035,170.02,263.8,179.23,184.58,139.36,126.21,133.1,155.16,132.05,178.7,243.74,215.45,155.8,160.31
7/21/2022 19:00,318.85,325.17,111.04,44.41,114.6,103.42,40.33,50.97,90.06,143.88,149.24,47.36,302.94,38.265,252.71,520.9,61.02,170.59,263.69,178.94,184.44,139.77,126.75,133.11,155.26,132.36,179.17,245.44,215.27,156.35,160.17
7/21/2022 20:00,320.45,326.62,111.63,44.58,115.33,104.175,40.62,51.41,90.14,145.39,150.21,47.67,304.97,38.46,253.5,522.23,61.37,171.32,264.87,180.03,185.45,140.765,127.15,133.95,155.38,132.54,180.99,245.79,216.24,156.89,161.48
7/21/2022 21:00,320.41,326.54,111.62,44.58,115.32,104.18,40.61,51.4,90.14,145.4,150.18,47.66,305,38.46,253.47,522.46,61.36,171.31,264.84,180.03,185.35,140.77,127.15,133.95,155.35,132.55,180.99,245.78,216.19,156.83,161.41
7/22/2022 15:00,321.39,326.63,110.78,44.8,115.53,103.67,40.23,51.49,90.09,145.76,157.37,44.63,309.01,38.765,253.77,525.72,61.81,171.94,262.61,182.82,184.19,142.66,126.38,134.76,155.67,133.265,180.34,246.69,215.46,158.06,160.98
7/22/2022 16:00,319.95,325.17,110.01,44.56,114.52,102.99,39.745,51.24,90.11,145.15,153.78,44.41,307.62,38.59,253.3,523.73,61.77,172.11,260.89,181.96,183.4,142.6,127.23,134.19,154.64,132.7,179.74,246.8,214.01,157.78,159.51
7/22/2022 17:00,319.35,324.22,109.57,44.53,114.22,102.81,39.31,51,89.965,145.15,154.42,44.125,306.61,38.61,252.92,523.61,61.65,171.711,260.47,181.42,182.61,142.43,127.601,133.98,154.51,132.2,179.19,246.97,213.13,157.08,159.19
7/22/2022 18:00,318.34,323.5,109.2,44.43,114.1,102.49,39.175,50.65,89.87,144.49,153.68,43.97,305.6,38.49,252.94,519.5,61.57,171.58,259.93,181.02,181.66,142.24,127.63,133.76,154.01,131.67,178.28,246.49,212.54,156.27,158.7
7/22/2022 19:00,318.01,323.09,109.05,44.34,114.16,102.61,39.03,50.66,89.54,144.3,153.28,44.06,305.38,38.49,252.62,518.85,61.42,171.38,259.99,180.91,182.07,142.23,127.44,133.89,153.82,131.51,177.6,245.81,213.36,155.6,158.69
7/22/2022 20:00,319.08,324.17,109.12,44.47,114.76,102.74,39.21,50.86,90.12,144.24,153.02,44.445,306.71,38.66,254,521.7,61.63,172.19,260.46,181.49,182.52,143.12,128.27,134.14,154.14,132.21,178.64,245.94,213.87,156.41,158.2
7/22/2022 21:00,319.06,323.93,109.12,44.46,114.76,102.72,39.2,50.85,90.11,144.19,153.01,44.45,306.59,38.66,253.99,521.41,61.59,172.12,260.36,181.47,182.47,143.02,128.25,134.12,154.09,132.21,178.62,245.95,213.7,156.42,158.16
7/25/2022 15:00,319.79,325.55,108.43,44.43,116.16,102.8,38.71,51.53,89.98,146.32,153.13,44.58,306.28,38.67,252.1,530.01,62.02,172.32,258.9,182.04,177.09,143.92,128.41,134.42,153.1,132.1,181.06,247.91,214.2,159.77,156.72
7/25/2022 16:00,320.01,324.35,108.8,44.56,116.02,103.18,39.175,51.63,90.09,148.11,154.41,44.505,305.17,38.675,250.04,528.39,62.205,172.64,259.26,182.07,176.91,143.88,128.76,134.66,153.64,132.09,182.2,248.4,214.37,160.18,156.79
7/25/2022 17:00,319.88,324.55,109.01,44.5,115.84,103.22,39.31,51.53,90.08,148.11,154.055,44.46,305.33,38.685,249.8,528.62,62.19,172.54,259.05,181.54,177.36,143.81,128.33,134.77,153.71,131.95,182.15,248.49,214.1,159.51,156.73
7/25/2022 18:00,319.03,323.78,108.65,44.37,115.29,102.39,39.055,51.399,90.14,147.9,153.73,44.625,304.82,38.59,249.52,527.14,62.13,172.29,258.23,180.91,176.5,143.33,128.16,134.38,153.29,131.72,181.15,248.2,213.51,159.11,155.92
7/25/2022 19:00,318.58,322.98,108.46,44.21,114.91,101.99,39.075,51.35,90.23,148.25,153.5,44.59,304.74,38.53,249.06,526.26,62.01,171.91,257.45,180.53,175.46,143.25,128.18,134.03,152.6,131.8,181.06,247.98,213.63,159.26,156.05
7/25/2022 20:00,319.93,324.11,109.28,44.35,115.21,102.7,39.165,51.57,90.53,148.48,153.75,44.75,306.03,38.75,250.48,529.35,62.19,172.46,258.82,181.3,177.24,144.01,128.55,134.12,152.97,132.01,181.8,248.72,214.35,159.91,156.69
7/25/2022 21:00,319.96,324.12,109.28,44.34,115.22,102.69,39.16,51.58,90.53,148.48,153.79,44.76,306.15,38.75,250.38,529.47,62.19,172.46,258.83,181.26,177.29,143.99,128.54,134.12,152.95,132.02,181.81,248.72,214.27,159.98,156.64
7/26/2022 15:00,319.29,323.32,107.37,44.45,114.9,100.855,39.52,51.69,91.04,148.71,152.04,44.77,298.64,38.84,254.7,535.21,62.96,173.12,253.63,182.98,173.64,142,128.76,143.69,151.61,120.4,183.415,250.38,213,160.57,157.55
