Date,Close/Last,Volume,Open,High,Low
12/18/2018,78.32,7031474,83.28,83.28,77.84
12/17/2018,83.60,5007681,87.12,87.28,83.28
12/14/2018,86.56,4473354,88.72,88.792,86.24
12/13/2018,89.68,6632896,85.92,90.16,85.72
12/12/2018,86.56,3280764,88.56,89.04,86.32
12/11/2018,87.60,2605791,88.32,88.7992,86.80
12/10/2018,86.00,3924610,86.96,88.22,85.60
12/07/2018,88.88,5410770,90.96,91.8048,88.60
12/06/2018,87.52,5734214,86.88,87.9992,84.80
12/04/2018,89.44,3391115,89.96,90.8016,89.20
12/03/2018,90.16,4070570,90.16,90.16,88.16
11/30/2018,85.84,5845821,85.04,87.40,84.08
11/29/2018,86.96,4138220,86.72,88.32,86.08
11/28/2018,85.28,6082446,86.80,88.32,84.80
11/27/2018,87.60,4507315,87.76,88.64,85.1528
11/26/2018,87.52,4875104,87.60,88.48,87.04
11/23/2018,86.64,6942045,87.04,87.52,85.52
11/21/2018,92.16,4777115,92.08,94.52,91.36
11/20/2018,90.16,8999008,94.64,95.20,89.3056
11/19/2018,97.12,4315885,95.04,97.44,93.56
11/16/2018,96.56,3791448,97.60,98.40,94.96
11/15/2018,95.84,4922723,95.92,97.24,95.44
11/14/2018,95.60,6926738,96.12,97.36,95.04
11/13/2018,93.52,10471050,99.36,99.84,92.92
11/12/2018,99.84,4352398,102.88,103.76,99.52
11/09/2018,101.60,3857170,101.20,102.72,100.56
11/08/2018,102.72,3424855,103.92,104.48,102.56
11/07/2018,104.48,3238500,106.08,106.48,103.80
11/06/2018,105.44,3700404,107.12,107.36,103.9384
11/05/2018,106.40,2450355,107.92,108.72,106.32
11/02/2018,106.48,3506994,107.36,108.12,106.20
11/01/2018,107.68,4504840,110.88,110.88,106.96
10/31/2018,110.32,3993506,111.92,113.00,110.168
10/30/2018,112.24,2458198,111.20,113.28,110.96
10/29/2018,112.88,2657739,114.00,114.24,112.32
10/26/2018,114.64,2714938,112.96,115.00,112.48
10/25/2018,113.68,1922003,113.44,114.64,113.28
10/24/2018,112.40,3349261,113.92,114.72,112.32
10/23/2018,112.32,5838901,114.88,115.12,111.44
10/22/2018,117.92,2179283,116.80,118.00,116.00
10/19/2018,117.76,2573629,117.44,118.40,117.04
10/18/2018,116.48,2988281,116.48,118.08,116.08
10/17/2018,118.56,3950474,120.40,120.472,117.52
10/16/2018,121.52,2307404,120.72,122.16,120.40
10/15/2018,121.04,2796415,120.96,121.368,119.76
10/12/2018,120.96,3332351,121.12,121.28,119.36
10/11/2018,119.60,3722890,121.76,122.12,119.12
10/10/2018,123.04,2254529,126.16,126.16,122.96
10/09/2018,126.56,2912189,126.24,127.20,125.12
10/08/2018,125.44,2473343,124.48,125.64,124.24
10/05/2018,125.52,3253288,125.76,127.04,124.80
10/04/2018,125.92,3300119,128.24,128.24,124.88
10/03/2018,128.64,3277673,126.80,129.92,125.36
10/02/2018,126.96,1999744,127.60,127.64,126.64
10/01/2018,127.60,3277189,124.00,128.04,123.56
09/28/2018,124.16,2314633,121.92,124.56,121.84
09/27/2018,122.08,1472361,122.08,122.16,121.20
09/26/2018,120.88,1382005,121.36,121.92,120.72
09/25/2018,122.16,2287213,122.56,122.88,121.44
09/24/2018,122.00,3085745,121.76,122.8456,121.36
09/21/2018,119.68,3544984,119.92,121.212,118.24
09/20/2018,118.40,1845965,120.16,120.36,118.24
09/19/2018,119.52,2179261,117.92,119.60,117.8408
09/18/2018,117.52,1832103,117.52,118.48,116.68
09/17/2018,115.76,1802908,116.88,117.28,115.36
09/14/2018,116.00,2044750,115.84,117.68,114.48
09/13/2018,115.92,2302996,116.88,117.36,115.12
09/12/2018,118.24,2329494,118.00,119.68,117.84
09/11/2018,116.80,1551268,114.16,117.04,113.84
09/10/2018,113.68,1242215,115.04,115.3592,113.3784
09/07/2018,114.24,1718588,113.04,114.32,112.5696
09/06/2018,114.40,1941538,115.68,115.92,112.80
09/05/2018,115.92,1608164,116.64,117.12,115.48
09/04/2018,116.64,1878141,118.80,118.96,116.24
08/31/2018,117.68,1375200,117.84,118.24,117.20
08/30/2018,118.00,1791548,117.52,118.64,117.12
08/29/2018,117.28,2210286,116.24,117.36,115.80
08/28/2018,115.44,1337525,116.08,116.08,114.80
08/27/2018,116.00,1357734,115.84,116.04,115.28
08/24/2018,115.44,1787899,116.00,116.64,114.88
08/23/2018,114.16,1440988,113.60,114.48,113.24
08/22/2018,114.16,2536913,113.04,114.56,112.44
08/21/2018,110.64,1214594,111.68,111.84,110.48
08/20/2018,110.08,2190294,109.52,110.40,109.24
08/17/2018,109.52,2552365,110.48,110.56,108.88
08/16/2018,109.04,2308614,108.56,109.20,108.16
08/15/2018,108.08,5820610,110.24,110.32,107.52
08/14/2018,111.92,2364744,113.76,113.84,111.12
08/13/2018,112.08,3422516,112.08,112.40,109.444
08/10/2018,112.64,2255189,112.08,112.96,111.9488
08/09/2018,111.04,2017994,111.76,112.24,110.96
08/08/2018,111.20,3609963,113.48,113.52,110.40
08/07/2018,114.88,1668283,115.44,115.8648,114.72
08/06/2018,114.48,2554459,115.20,116.32,114.40
08/03/2018,114.16,2062788,114.48,114.80,112.9144
08/02/2018,114.88,2169546,112.08,115.36,111.84
08/01/2018,112.72,2263844,112.72,113.76,111.92
07/31/2018,114.24,2030054,115.04,115.20,113.92
07/30/2018,116.32,2153770,116.72,117.12,116.16
07/27/2018,114.56,1882916,115.60,116.00,113.536
07/26/2018,115.76,1977911,114.72,116.32,114.72
07/25/2018,115.36,2686173,114.24,115.84,113.36
07/24/2018,113.84,2495126,112.88,114.80,112.88
07/23/2018,112.72,2936995,114.56,115.20,112.40
07/20/2018,113.20,2851186,113.44,113.80,112.56
07/19/2018,113.04,2766290,112.64,114.32,112.24
07/18/2018,112.80,2783191,110.80,112.88,110.24
07/17/2018,111.60,6805855,110.72,112.40,110.08
07/16/2018,111.52,3896309,113.60,113.84,110.88
07/13/2018,115.76,2398029,115.36,117.2808,115.16
07/12/2018,115.12,2937918,115.04,115.60,113.12
07/11/2018,114.48,4791379,119.04,120.24,113.7344
07/10/2018,120.56,1917484,120.88,121.36,119.84
07/09/2018,120.24,1611160,119.76,120.24,118.48
07/06/2018,119.68,2367798,117.36,119.84,117.28
07/05/2018,118.24,2736765,120.00,120.40,117.60
07/03/2018,119.36,2636365,121.52,122.00,117.84
07/02/2018,119.68,2692020,120.00,120.48,118.9728
06/29/2018,120.48,2701228,119.44,120.64,119.36
06/28/2018,118.88,3881300,117.84,119.92,117.52
06/27/2018,117.20,4304961,115.92,118.40,115.84
06/26/2018,114.16,4205154,111.28,114.4456,110.32
06/25/2018,110.16,3099630,112.08,112.40,109.84
06/22/2018,112.16,4122645,109.68,112.24,108.728
06/21/2018,106.48,2244680,105.12,107.28,104.96
06/20/2018,106.24,2538945,106.56,107.52,105.20
06/19/2018,105.12,1999333,104.80,105.68,104.08
06/18/2018,106.32,2217829,105.36,106.64,104.96
06/15/2018,104.40,3429174,107.52,107.52,104.32
06/14/2018,108.16,1667113,108.40,108.4968,107.20
06/13/2018,107.76,2182114,106.80,108.12,106.60
06/12/2018,107.20,2429343,106.72,107.88,106.64
06/11/2018,106.88,1835959,105.36,107.32,105.16
06/08/2018,106.16,1979229,106.48,107.1544,105.44
06/07/2018,106.80,1776009,105.68,106.88,105.568
06/06/2018,105.28,2115875,105.52,106.00,104.00
06/05/2018,105.76,2788500,104.24,106.08,104.00
06/04/2018,104.96,2478928,106.40,106.6736,104.48
06/01/2018,106.00,2868511,107.28,108.12,106.00
05/31/2018,108.40,3030339,108.64,110.28,107.68
05/30/2018,110.64,3014603,108.64,110.80,108.64
05/29/2018,108.08,3286993,108.56,108.80,106.64
05/25/2018,109.44,5069184,111.44,111.44,109.1968
05/24/2018,114.32,1930640,114.32,115.20,114.16
05/23/2018,116.08,1885715,116.24,116.64,115.12
05/22/2018,116.48,2457375,117.20,117.9192,116.40
05/21/2018,117.36,1681584,115.84,117.36,115.72
05/18/2018,115.44,1557260,115.52,116.00,114.96
